X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,X,Y
22371.8444023522,46510.8491001959,46299,B08,OPP BLK 106,22372,46511
18956.4148014437,36326.478898415,43591,B05,OPP BT VIEW SEC SCH,18956,36326
27465.4659977916,39859.6267015033,56039,B24,AFT YIO CHU KANG RD,27465,39860
28499.0293967925,45765.7948978739,59161,B06,OPP BLK 201,28499,45766
36127.640103057,33338.0691011543,83029,B06,BEF JAMIYAH HOME,36128,33338
20758.4377007496,35733.8209021768,42229,B05,AFT TOH TUCK TERR,20758,35734
28127.3331021742,34233.2467001437,51099,B03,CATHOLIC JC,28127,34233
32252.0774020894,32763.8186855825,80101,B01,OPP BLK 2C,32252,32764
33165.7632035592,32206.893902146,80149,B05,MOUNTBATTEN VOC SCH,33166,32207
36112.5721316197,34793.1666591383,72021,B01,BLK 646,36113,34793
19842.6315011522,32442.30090017,17079,B12,BLK 512,19843,32442
30020.7796985393,35127.0015011377,52269,B04,BLK 73,30021,35127
34521.941168386,35952.4288625997,71051,B04,AFT KIM CHUAN RD,34522,35952
15303.793498663,35610.9784991325,21611,B11,BLK 367,15304,35611
42034.6924103169,35811.2813027075,96209,B02,,42035,35811
32438.0151083577,32754.8397926606,80051,B03,AFT LOR 1 GEYLANG,32438,32755
39711.9276031837,40472.9745004921,77251,B19,BLK 713,39712,40473
23518.7058979377,34206.9982022418,11349,B05,OPP GARLICK VILLE,23519,34207
14946.0912996668,35812.5805016824,21211,B09,OPP LAKEPOINT CONDO,14946,35813
16004.1333972121,37162.6560016753,28571,B02,BET BLK 415,16004,37163
22299.8664979291,32423.4721983337,19029,B06,OPP SP SMA,22300,32423
28614.4237987718,32925.3003008709,40049,B02,BEF NEWTON CIRCUS,28614,32925
17454.531987768,35192.1590036877,28439,B124,BLK 124,17455,35192
25408.1914971865,49346.5487003552,47819,B11,OPP WOODLANDS SUNNY FOOD,25408,49347
19993.0884996617,43713.1744003963,45181,B30,OPP MANDAI CD TRG VILLAGE,19993,43713
25461.1005975373,33515.918698747,41109,B04,OPP ST. MARGARET'S SEC SCH,25461,33516
34836.3153000572,35418.5540984452,71021,B05,OPP COMFORT TEST CTR,34836,35419
12847.0020986056,36075.0519029605,22359,B05,BEF BLK 717,12847,36075
43256.3260986959,38062.1237969236,97051,B07,OPP CHANGI WOMEN'S PRISON,43256,38062
34594.9831993184,37651.9840022617,63081,B14,OPP BLK 241,34595,37652
33691.5837010769,40047.4706974119,64611,B08,BLK 913,33692,40047
12745.3517030795,36730.3951969137,27391,B06,BLK 857,12745,36730
27924.9362968658,45785.4908984924,59141,B02,BLK 741,27925,45785
32231.9907427566,32602.5732780883,80031,B01,KALLANG STN,32232,32603
27954.369992681,44479.4259964474,59569,B29,Opp Blk 798,27954,44479
33467.8655003732,39216.348302333,63381,B13,XINMIN PR SCH,33468,39216
